代码	名称	大类行业	细分行业	Unnamed: 4	Unnamed: 5	大类行业.1	细分行业.1
300020.SZ	银江技术	科技	应用软件				
300036.SZ	超图软件	科技	应用软件				
300047.SZ	天源迪科	科技	应用软件				
300098.SZ	高新兴	科技	应用软件				
300231.SZ	银信科技	科技	应用软件				
300339.SZ	润和软件	科技	应用软件				
300352.SZ	北信源	科技	应用软件				
300366.SZ	创意信息	科技	应用软件				
300377.SZ	赢时胜	科技	应用软件				
300386.SZ	飞天诚信	科技	应用软件				
300465.SZ	高伟达	科技	应用软件				
300468.SZ	四方精创	科技	应用软件				
300469.SZ	信息发展	科技	应用软件				
300520.SZ	科大国创	科技	应用软件				
300523.SZ	辰安科技	科技	应用软件				
300525.SZ	博思软件	科技	应用软件				
300532.SZ	今天国际	科技	应用软件				
300542.SZ	新晨科技	科技	应用软件				
300559.SZ	佳发教育	科技	应用软件				
300624.SZ	万兴科技	科技	应用软件				
300663.SZ	科蓝软件	科技	应用软件				
300678.SZ	中科信息	科技	应用软件				
300925.SZ	法本信息	科技	应用软件				
300996.SZ	普联软件	科技	应用软件				
301095.SZ	广立微	科技	应用软件				
301153.SZ	中科江南	科技	应用软件				
301162.SZ	国能日新	科技	应用软件				
301195.SZ	北路智控	科技	应用软件				
301315.SZ	威士顿	科技	应用软件				
301382.SZ	蜂助手	科技	应用软件				
600225.SH	卓朗科技	科技	应用软件				
600271.SH	航天信息	科技	应用软件				
600756.SH	浪潮软件	科技	应用软件				
600797.SH	浙大网新	科技	应用软件				
603171.SH	税友股份	科技	应用软件				
603189.SH	网达软件	科技	应用软件				
603383.SH	顶点软件	科技	应用软件				
603496.SH	恒为科技	科技	应用软件				
603528.SH	多伦科技	科技	应用软件				
603636.SH	南威软件	科技	应用软件				
603869.SH	新智认知	科技	应用软件				
603887.SH	城地香江	科技	应用软件				
603918.SH	金桥信息	科技	应用软件				
688039.SH	当虹科技	科技	应用软件				
688201.SH	信安世纪	科技	应用软件				
688207.SH	格灵深瞳	科技	应用软件				
688228.SH	开普云	科技	应用软件				
688343.SH	云天励飞-U	科技	应用软件				
688365.SH	光云科技	科技	应用软件				
688507.SH	索辰科技	科技	应用软件				
688579.SH	山大地纬	科技	应用软件				
688588.SH	凌志软件	科技	应用软件				
688590.SH	新致软件	科技	应用软件				
688631.SH	莱斯信息	科技	应用软件				
688787.SH	海天瑞声	科技	应用软件				
300288.SZ	朗玛信息	科技	应用软件				
002474.SZ	榕基软件	科技	应用软件				
002232.SZ	启明信息	科技	应用软件				
600571.SH	信雅达	科技	应用软件				
688657.SH	浩辰软件	科技	应用软件				
300085.SZ	银之杰	科技	应用软件				
300608.SZ	思特奇	科技	应用软件				
300344.SZ	立方数科	科技	应用软件				
301270.SZ	汉仪股份	科技	应用软件				
600288.SH	大恒科技	科技	应用软件				
001229.SZ	魅视科技	科技	应用软件				
300556.SZ	丝路视觉	科技	应用软件				
000156.SZ	华数传媒	科技	影视与互联网媒体				
000665.SZ	湖北广电	科技	影视与互联网媒体				
000681.SZ	视觉中国	科技	影视与互联网媒体				
000892.SZ	欢瑞世纪	科技	影视与互联网媒体				
001330.SZ	博纳影业	科技	影视与互联网媒体				
002292.SZ	奥飞娱乐	科技	影视与互联网媒体				
002739.SZ	万达电影	科技	影视与互联网媒体				
002905.SZ	金逸影视	科技	影视与互联网媒体				
300027.SZ	华谊兄弟	科技	影视与互联网媒体				
300133.SZ	华策影视	科技	影视与互联网媒体				
300182.SZ	捷成股份	科技	影视与互联网媒体				
300251.SZ	光线传媒	科技	影视与互联网媒体				
300291.SZ	百纳千成	科技	影视与互联网媒体				
300413.SZ	芒果超媒	科技	影视与互联网媒体				
300426.SZ	唐德影视	科技	影视与互联网媒体				
300770.SZ	新媒股份	科技	影视与互联网媒体				
301313.SZ	凡拓数创	科技	影视与互联网媒体				
600037.SH	歌华有线	科技	影视与互联网媒体				
600088.SH	中视传媒	科技	影视与互联网媒体				
600576.SH	祥源文旅	科技	影视与互联网媒体				
600831.SH	广电网络	科技	影视与互联网媒体				
600959.SH	江苏有线	科技	影视与互联网媒体				
600977.SH	中国电影	科技	影视与互联网媒体				
600996.SH	贵广网络	科技	影视与互联网媒体				
601595.SH	上海电影	科技	影视与互联网媒体				
601929.SH	吉视传媒	科技	影视与互联网媒体				
603000.SH	人民网	科技	影视与互联网媒体				
603103.SH	横店影视	科技	影视与互联网媒体				
603466.SH	风语筑	科技	影视与互联网媒体				
603533.SH	掌阅科技	科技	影视与互联网媒体				
603721.SH	中广天择	科技	影视与互联网媒体				
603888.SH	新华网	科技	影视与互联网媒体				
600936.SH	广西广电	科技	影视与互联网媒体				
002095.SZ	生意宝	科技	影视与互联网媒体				
300528.SZ	幸福蓝海	科技	影视与互联网媒体				
002353.SZ	杰瑞股份	公用事业和工业服务	油服				
300191.SZ	潜能恒信	公用事业和工业服务	油服				
300384.SZ	三联虹普	公用事业和工业服务	油服				
600339.SH	中油工程	公用事业和工业服务	油服				
600583.SH	海油工程	公用事业和工业服务	油服				
600871.SH	石化油服	公用事业和工业服务	油服				
600968.SH	海油发展	公用事业和工业服务	油服				
601808.SH	中海油服	公用事业和工业服务	油服				
603619.SH	中曼石油	公用事业和工业服务	油服				
688377.SH	迪威尔	公用事业和工业服务	油服				
002174.SZ	游族网络	科技	游戏				
002354.SZ	天娱数科	科技	游戏				
002425.SZ	凯撒文化	科技	游戏				
002517.SZ	恺英网络	科技	游戏				
002555.SZ	三七互娱	科技	游戏				
002558.SZ	巨人网络	科技	游戏				
002602.SZ	世纪华通	科技	游戏				
002605.SZ	姚记科技	科技	游戏				
002624.SZ	完美世界	科技	游戏				
300002.SZ	神州泰岳	科技	游戏				
300031.SZ	宝通科技	科技	游戏				
300043.SZ	星辉娱乐	科技	游戏				
300113.SZ	顺网科技	科技	游戏				
300299.SZ	富春股份	科技	游戏				
300315.SZ	掌趣科技	科技	游戏				
300418.SZ	昆仑万维	科技	游戏				
300459.SZ	汤姆猫	科技	游戏				
300494.SZ	盛天网络	科技	游戏				
300533.SZ	冰川网络	科技	游戏				
603258.SH	电魂网络	科技	游戏				
603444.SH	吉比特	科技	游戏				
300052.SZ	中青宝	科技	游戏				
300051.SZ	琏升科技	科技	游戏				
001267.SZ	汇绿生态	公用事业和工业服务	园林工程				
002310.SZ	东方园林	公用事业和工业服务	园林工程				
002431.SZ	棕榈股份	公用事业和工业服务	园林工程				
300197.SZ	节能铁汉	公用事业和工业服务	园林工程				
300355.SZ	蒙草生态	公用事业和工业服务	园林工程				
603778.SH	国晟科技	公用事业和工业服务	园林工程				
300536.SZ	农尚环境	公用事业和工业服务	园林工程				
000739.SZ	普洛药业	医药	原料药				
000756.SZ	新华制药	医药	原料药				
002019.SZ	亿帆医药	医药	原料药				
002020.SZ	京新药业	医药	原料药				
002099.SZ	海翔药业	医药	原料药				
002332.SZ	仙琚制药	医药	原料药				
002399.SZ	海普瑞	医药	原料药				
002675.SZ	东诚药业	医药	原料药				
002923.SZ	润都股份	医药	原料药				
300194.SZ	福安药业	医药	原料药				
300233.SZ	金城医药	医药	原料药				
300381.SZ	溢多利	医药	原料药				
300497.SZ	富祥药业	医药	原料药				
300636.SZ	同和药业	医药	原料药				
300702.SZ	天宇股份	医药	原料药				
300765.SZ	新诺威	医药	原料药				
301089.SZ	拓新药业	医药	原料药				
301246.SZ	宏源药业	医药	原料药				
600267.SH	海正药业	医药	原料药				
600488.SH	津药药业	医药	原料药				
600521.SH	华海药业	医药	原料药				
603229.SH	奥翔药业	医药	原料药				
603351.SH	威尔药业	医药	原料药				
603520.SH	司太立	医药	原料药				
603538.SH	美诺华	医药	原料药				
603707.SH	健友股份	医药	原料药				
605116.SH	奥锐特	医药	原料药				
605507.SH	国邦医药	医药	原料药				
688799.SH	华纳药厂	医药	原料药				
000597.SZ	东北制药	医药	原料药				
300111.SZ	向日葵	医药	原料药				
301281.SZ	科源制药	医药	原料药				
300267.SZ	尔康制药	医药	原料药				
301277.SZ	新天地	医药	原料药				
300583.SZ	赛托生物	医药	原料药				
000555.SZ	神州信息	科技	云计算				
000938.SZ	紫光股份	科技	云计算				
000977.SZ	浪潮信息	科技	云计算				
000988.SZ	华工科技	科技	云计算				
002153.SZ	石基信息	科技	云计算				
002195.SZ	岩山科技	科技	云计算				
002197.SZ	证通电子	科技	云计算				
002230.SZ	科大讯飞	科技	云计算				
300017.SZ	网宿科技	科技	云计算				
300166.SZ	东方国信	科技	云计算				
300170.SZ	汉得信息	科技	云计算				
300302.SZ	同有科技	科技	云计算				
300378.SZ	鼎捷软件	科技	云计算				
300383.SZ	光环新网	科技	云计算				
300448.SZ	浩云科技	科技	云计算				
300634.SZ	彩讯股份	科技	云计算				
300687.SZ	赛意信息	科技	云计算				
300738.SZ	奥飞数据	科技	云计算				
300846.SZ	首都在线	科技	云计算				
301165.SZ	锐捷网络	科技	云计算				
301208.SZ	中亦科技	科技	云计算				
301236.SZ	软通动力	科技	云计算				
600100.SH	同方股份	科技	云计算				
600602.SH	云赛智联	科技	云计算				
600850.SH	电科数字	科技	云计算				
603019.SH	中科曙光	科技	云计算				
603881.SH	数据港	科技	云计算				
688158.SH	优刻得-W	科技	云计算				
688225.SH	亚信安全	科技	云计算				
688258.SH	卓易信息	科技	云计算				
688292.SH	浩瀚深度	科技	云计算				
688435.SH	英方软件	科技	云计算				
688568.SH	中科星图	科技	云计算				
301172.SZ	君逸数码	科技	云计算				
301085.SZ	亚康股份	科技	云计算				
300042.SZ	朗科科技	科技	云计算				
301169.SZ	零点有数	科技	云计算				
000488.SZ	晨鸣纸业	周期	造纸				
002078.SZ	太阳纸业	周期	造纸				
600308.SH	华泰股份	周期	造纸				
600433.SH	冠豪高新	周期	造纸				
600567.SH	山鹰国际	周期	造纸				
600963.SH	岳阳林纸	周期	造纸				
600966.SH	博汇纸业	周期	造纸				
603733.SH	仙鹤股份	周期	造纸				
002067.SZ	景兴纸业	周期	造纸				
603863.SH	松炀资源	周期	造纸				
002521.SZ	齐峰新材	周期	造纸				
002036.SZ	联创电子	科技	智能汽车				
002405.SZ	四维图新	科技	智能汽车				
002609.SZ	捷顺科技	科技	智能汽车				
002869.SZ	金溢科技	科技	智能汽车				
002906.SZ	华阳集团	科技	智能汽车				
002920.SZ	德赛西威	科技	智能汽车				
002970.SZ	锐明技术	科技	智能汽车				
300496.SZ	中科创达	科技	智能汽车				
300679.SZ	电连技术	科技	智能汽车				
300681.SZ	英搏尔	科技	智能汽车				
300745.SZ	欣锐科技	科技	智能汽车				
301221.SZ	光庭信息	科技	智能汽车				
301328.SZ	维峰电子	科技	智能汽车				
301339.SZ	通行宝	科技	智能汽车				
601965.SH	中国汽研	科技	智能汽车				
603197.SH	保隆科技	科技	智能汽车				
603297.SH	永新光学	科技	智能汽车				
603596.SH	伯特利	科技	智能汽车				
603786.SH	科博达	科技	智能汽车				
605005.SH	合兴股份	科技	智能汽车				
688208.SH	道通科技	科技	智能汽车				
688299.SH	长阳科技	科技	智能汽车				
688326.SH	经纬恒润-W	科技	智能汽车				
688533.SH	上声电子	科技	智能汽车				
688667.SH	菱电电控	科技	智能汽车				
688800.SH	瑞可达	科技	智能汽车				
688612.SH	威迈斯	科技	智能汽车				
301488.SZ	豪恩汽电	科技	智能汽车				
002766.SZ	索菱股份	科技	智能汽车				
000423.SZ	东阿阿胶	医药	中药				
000538.SZ	云南白药	医药	中药				
000623.SZ	吉林敖东	医药	中药				
000650.SZ	仁和药业	医药	中药				
000919.SZ	金陵药业	医药	中药				
000989.SZ	ST九芝	医药	中药				
000999.SZ	华润三九	医药	中药				
002082.SZ	万邦德	医药	中药				
002275.SZ	桂林三金	医药	中药				
002287.SZ	奇正藏药	医药	中药				
002317.SZ	众生药业	医药	中药				
002349.SZ	精华制药	医药	中药				
002390.SZ	信邦制药	医药	中药				
002424.SZ	贵州百灵	医药	中药				
002603.SZ	以岭药业	医药	中药				
002644.SZ	佛慈制药	医药	中药				
002728.SZ	特一药业	医药	中药				
002737.SZ	葵花药业	医药	中药				
002864.SZ	盘龙药业	医药	中药				
300026.SZ	红日药业	医药	中药				
300039.SZ	上海凯宝	医药	中药				
300158.SZ	振东制药	医药	中药				
300181.SZ	佐力药业	医药	中药				
600085.SH	同仁堂	医药	中药				
600129.SH	太极集团	医药	中药				
600211.SH	西藏药业	医药	中药				
600252.SH	中恒集团	医药	中药				
600285.SH	羚锐制药	医药	中药				
600329.SH	达仁堂	医药	中药				
600332.SH	白云山	医药	中药				
600422.SH	昆药集团	医药	中药				
600436.SH	片仔癀	医药	中药				
600479.SH	千金药业	医药	中药				
600535.SH	天士力	医药	中药				
600557.SH	康缘药业	医药	中药				
600566.SH	济川药业	医药	中药				
600572.SH	康恩贝	医药	中药				
600594.SH	益佰制药	医药	中药				
600750.SH	江中药业	医药	中药				
600771.SH	广誉远	医药	中药				
600976.SH	健民集团	医药	中药				
600993.SH	马应龙	医药	中药				
603439.SH	贵州三力	医药	中药				
603567.SH	珍宝岛	医药	中药				
603858.SH	步长制药	医药	中药				
603896.SH	寿仙谷	医药	中药				
603998.SH	方盛制药	医药	中药				
605199.SH	葫芦娃	医药	中药				
600351.SH	亚宝药业	医药	中药				
300878.SZ	维康药业	医药	中药				
002198.SZ	嘉应制药	医药	中药				
002750.SZ	龙津药业	医药	中药				
002907.SZ	华森制药	医药	中药				
000713.SZ	丰乐种业	周期	种植业				
000998.SZ	隆平高科	周期	种植业				
002041.SZ	登海种业	周期	种植业				
300087.SZ	荃银高科	周期	种植业				
300972.SZ	万辰集团	周期	种植业				
600313.SH	农发种业	周期	种植业				
600598.SH	北大荒	周期	种植业				
601118.SH	海南橡胶	周期	种植业				
601952.SH	苏垦农发	周期	种植业				
600108.SH	亚盛集团	周期	种植业				
000039.SZ	中集集团	制造业	专用设备				
000530.SZ	冰山冷热	制造业	专用设备				
000811.SZ	冰轮环境	制造业	专用设备				
000852.SZ	石化机械	制造业	专用设备				
000922.SZ	佳电股份	制造业	专用设备				
001223.SZ	欧克科技	制造业	专用设备				
002006.SZ	精工科技	制造业	专用设备				
002011.SZ	盾安环境	制造业	专用设备				
002073.SZ	软控股份	制造业	专用设备				
002180.SZ	纳思达	制造业	专用设备				
002255.SZ	海陆重工	制造业	专用设备				
002376.SZ	新北洋	制造业	专用设备				
002430.SZ	杭氧股份	制造业	专用设备				
002534.SZ	西子洁能	制造业	专用设备				
002595.SZ	豪迈科技	制造业	专用设备				
002611.SZ	东方精工	制造业	专用设备				
002639.SZ	雪人股份	制造业	专用设备				
002801.SZ	微光股份	制造业	专用设备				
002819.SZ	东方中科	制造业	专用设备				
002849.SZ	威星智能	制造业	专用设备				
002870.SZ	香山股份	制造业	专用设备				
002892.SZ	科力尔	制造业	专用设备				
300092.SZ	科新机电	制造业	专用设备				
300130.SZ	新国都	制造业	专用设备				
300151.SZ	昌红科技	制造业	专用设备				
300193.SZ	佳士科技	制造业	专用设备				
300217.SZ	东方电热	制造业	专用设备				
300228.SZ	富瑞特装	制造业	专用设备				
300248.SZ	新开普	制造业	专用设备				
300257.SZ	开山股份	制造业	专用设备				
300400.SZ	劲拓股份	制造业	专用设备				
300415.SZ	伊之密	制造业	专用设备				
300442.SZ	润泽科技	制造业	专用设备				
300540.SZ	蜀道装备	制造业	专用设备				
300545.SZ	联得装备	制造业	专用设备				
300552.SZ	万集科技	制造业	专用设备				
300660.SZ	江苏雷利	制造业	专用设备				
300833.SZ	浩洋股份	制造业	专用设备				
300902.SZ	国安达	制造业	专用设备				
300962.SZ	中金辐照	制造业	专用设备				
300985.SZ	致远新能	制造业	专用设备				
301018.SZ	申菱环境	制造业	专用设备				
301029.SZ	怡合达	制造业	专用设备				
301200.SZ	大族数控	制造业	专用设备				
301260.SZ	格力博	制造业	专用设备				
301322.SZ	绿通科技	制造业	专用设备				
301338.SZ	凯格精机	制造业	专用设备				
301391.SZ	卡莱特	制造业	专用设备				
600475.SH	华光环能	制造业	专用设备				
600481.SH	双良节能	制造业	专用设备				
600579.SH	克劳斯	制造业	专用设备				
600582.SH	天地科技	制造业	专用设备				
600860.SH	京城股份	制造业	专用设备				
601038.SH	一拖股份	制造业	专用设备				
601106.SH	中国一重	制造业	专用设备				
601608.SH	中信重工	制造业	专用设备				
601717.SH	郑煤机	制造业	专用设备				
603012.SH	创力集团	制造业	专用设备				
603100.SH	川仪股份	制造业	专用设备				
603112.SH	华翔股份	制造业	专用设备				
603169.SH	兰石重装	制造业	专用设备				
603173.SH	福斯达	制造业	专用设备				
603187.SH	海容冷链	制造业	专用设备				
603277.SH	银都股份	制造业	专用设备				
603337.SH	杰克股份	制造业	专用设备				
603339.SH	四方科技	制造业	专用设备				
603516.SH	淳中科技	制造业	专用设备				
603660.SH	苏州科达	制造业	专用设备				
603698.SH	航天工程	制造业	专用设备				
603728.SH	鸣志电器	制造业	专用设备				
603800.SH	道森股份	制造业	专用设备				
603855.SH	华荣股份	制造业	专用设备				
603901.SH	永创智能	制造业	专用设备				
603912.SH	佳力图	制造业	专用设备				
688102.SH	斯瑞新材	制造业	专用设备				
688128.SH	中国电研	制造业	专用设备				
688170.SH	德龙激光	制造业	专用设备				
688378.SH	奥来德	制造业	专用设备				
688433.SH	华曙高科	制造业	专用设备				
688596.SH	正帆科技	制造业	专用设备				
688789.SH	宏华数科	制造业	专用设备				
002823.SZ	凯中精密	制造业	专用设备				
600843.SH	上工申贝	制造业	专用设备				
300307.SZ	慈星股份	制造业	专用设备				
301255.SZ	通力科技	制造业	专用设备				
301559.SZ	中集环科	制造业	专用设备				
002535.SZ	林州重机	制造业	专用设备				
300099.SZ	尤洛卡	制造业	专用设备				
002526.SZ	山东矿机	制造业	专用设备				
002204.SZ	大连重工	制造业	专用设备				
601399.SH	国机重装	制造业	专用设备				
300368.SZ	汇金股份	制造业	专用设备				
301468.SZ	博盈特焊	制造业	专用设备				
600520.SH	文一科技	制造业	专用设备				
300461.SZ	田中精机	制造业	专用设备				
301525.SZ	儒竞科技	制造业	专用设备				
002686.SZ	亿利达	制造业	专用设备				
